id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Highway,Cactus Wire,country,nostalgic,0.55,96,0.63,0.52,0.74
12,Bass Cathedral,DJ Pryzm,electronic,energetic,0.95,140,0.70,0.91,0.03
13,Velvet Curtain,Lila Moon,r&b,romantic,0.48,88,0.75,0.68,0.45
14,Iron Anthem,Shred Protocol,metal,aggressive,0.97,168,0.32,0.44,0.08
15,Bossa Nova Sunset,Rio Keys,bossa nova,relaxed,0.33,105,0.78,0.61,0.83
16,Pixel Dreams,Chiptune Kid,chiptune,playful,0.72,145,0.80,0.85,0.02
17,Rainy Balcony,Hana Mist,folk,melancholy,0.30,68,0.40,0.38,0.91
18,Club Mirage,Neon Echo,house,energetic,0.88,128,0.72,0.90,0.07
